key,variants
Й,Ї Ј Ѵ
Ц,Ҵ
У,Ў Ү Ұ Ӱ Ӳ Ӯ Ü
К,Қ Ҡ Ҟ Ѯ
Е,Ё Є Ӗ Ѣ Е̄
Н,Ң Ҥ Ӈ ᵸ
Г,Ғ Ґ Ҕ Ӷ
Ш,
Щ,Ӡ
З,Ҙ Ӟ
Х,Ҳ Һ
Ъ,Ҿ Ҽ Ѫ
Ф,Ѳ
Ы,Ӹ
В,
А,Æ Ӑ Ӓ А̄
П,Ԥ Ѱ
Р,
О,Ө Ӧ О̄ Ѡ
Л,Ӆ
Д,
Ж,Җ Ӝ Ӂ Ѥ
Э,Ә Ӭ
Я,Џ Ѧ
Ч,Ҷ Ӵ Ӌ
С,Ҫ C̄
М,
И,І Ӥ Ӣ
Т,Ҭ
Ь,Ӏ
Б,
Ю,Ҩ Ѭ
